,original_name,url,artist_id
dread,Dread,https://open.spotify.com/artist/1aw0Cdl1DIrtUrUA6fGbAR,1aw0Cdl1DIrtUrUA6fGbAR
planetary ghost,Planetary Ghost,https://open.spotify.com/artist/5jr6VoNOOlDmUlQ8gW3YUL,5jr6VoNOOlDmUlQ8gW3YUL
batch89,Batch89,https://open.spotify.com/artist/3nQmlRVL7cS39AJV0SQCbL,3nQmlRVL7cS39AJV0SQCbL
6 weapons,6 Weapons,https://open.spotify.com/artist/51BY42XevaEOKMfWcCgdFT,51BY42XevaEOKMfWcCgdFT
aggressive raisin cat,Aggressive Raisin Cat,https://open.spotify.com/artist/7BFFCrMT0jUIZ29H6BTys2,7BFFCrMT0jUIZ29H6BTys2
zemeth,Zemeth,https://open.spotify.com/artist/3iIwFstdYwT1mrPgNqTUVY,3iIwFstdYwT1mrPgNqTUVY
jose halftime,Jose Halftime,https://open.spotify.com/artist/2xx1Fyt9ffNw36ragh8pBa,2xx1Fyt9ffNw36ragh8pBa
phase.shift.,phase.shift.,https://open.spotify.com/artist/2mIEOoqSOsMIZ6UL0YJT2e,2mIEOoqSOsMIZ6UL0YJT2e
cuntfull of concrete,CuntFull Of Concrete,https://open.spotify.com/artist/02piNXeV8PA31G3d6UIKxW,02piNXeV8PA31G3d6UIKxW
worm infested,Worm Infested,https://open.spotify.com/artist/7kOvNG3K2fMnXB81TEd13R,7kOvNG3K2fMnXB81TEd13R
blindwolf,blindwolf,https://open.spotify.com/artist/679GLOGOMxdgbi7BBKMogd,679GLOGOMxdgbi7BBKMogd
stenched,Stenched,https://open.spotify.com/artist/0D8H7XwaPa1sHEEeRzbnSX,0D8H7XwaPa1sHEEeRzbnSX
roju,Roju,https://open.spotify.com/artist/04mTej6RpWzBxGwhfThpIi,04mTej6RpWzBxGwhfThpIi
the gates of slumber,The Gates Of Slumber,https://open.spotify.com/artist/30ZFCxaQeisDgihIZyjOlj,30ZFCxaQeisDgihIZyjOlj
otis vcr,OTIS VCR,https://open.spotify.com/artist/1MRpS03w7O7TTpGLCmhSMp,1MRpS03w7O7TTpGLCmhSMp
lord agheros,Lord Agheros,https://open.spotify.com/artist/6zUpMgFggd8OpP4tVFIBFZ,6zUpMgFggd8OpP4tVFIBFZ
exuvial,Exuvial,https://open.spotify.com/artist/40OMuh0Xg1qdN2JKxJj5Mr,40OMuh0Xg1qdN2JKxJj5Mr
terrorpy,Terrorpy,https://open.spotify.com/artist/3eLYDi1Rzl0Y9UPJkFFpKG,3eLYDi1Rzl0Y9UPJkFFpKG
of grace,Of Grace,https://open.spotify.com/artist/0fk7EeoMrQyBltSnppBQys,0fk7EeoMrQyBltSnppBQys
product of neglect,Product of Neglect,https://open.spotify.com/artist/6uonq4XdmX0uUXGGm9aMld,6uonq4XdmX0uUXGGm9aMld
turnpike,Turnpike,https://open.spotify.com/artist/1YSA4byX5AL1zoTsSTlB03,1YSA4byX5AL1zoTsSTlB03
vapid soul,Vapid Soul,https://open.spotify.com/artist/7kIjHc6jSwTdfG49g2VMN9,7kIjHc6jSwTdfG49g2VMN9
thin the herd,Thin the Herd,https://open.spotify.com/artist/5adJCDS7L4dPycqJlZZkvM,5adJCDS7L4dPycqJlZZkvM
signals,SIGNALS,https://open.spotify.com/artist/16AdioxYOukoGrCeLV9QGF,16AdioxYOukoGrCeLV9QGF
bimopd,Bimopd,https://open.spotify.com/artist/2XvjzM97hdxo1Bd5GoydUY,2XvjzM97hdxo1Bd5GoydUY
czort,Czort,https://open.spotify.com/artist/4ihicgHjO5lvqOWoCvNSQI,4ihicgHjO5lvqOWoCvNSQI
crimson thorn,Crimson Thorn,https://open.spotify.com/artist/28PjS3NGOb3SF6lkXQjagb,28PjS3NGOb3SF6lkXQjagb
winter's gate,Winter's Gate,https://open.spotify.com/artist/3yrxaVCuqAeYk2ICB5XshG,3yrxaVCuqAeYk2ICB5XshG
killboy,KILLBOY,https://open.spotify.com/artist/3lPSkTq1kiSuxDcr996Nlm,3lPSkTq1kiSuxDcr996Nlm
lazygod,LazyGod,https://open.spotify.com/artist/3J3negcFx75yXuXLF3NaEn,3J3negcFx75yXuXLF3NaEn
the words we use,The Words We Use,https://open.spotify.com/artist/4NzlVVIKbkYRkp8hr6toEi,4NzlVVIKbkYRkp8hr6toEi
